日期,内容,来源
2011/6/23,中兴明年或推4G版平板电脑,易观国际
2011/6/24,民族证券：中兴通讯重点布局云计算,Wind
2011/6/24,东方证券：光通信行业或现投资性机会,Wind
2011/6/24,中兴通讯再抛国民技术,易观国际
2011/6/24,中兴通讯再次减持国民技术套现,Wind
2011/6/24,中兴通讯再抛国民技术400万股 两月4次减持仍稳居二股东,资本证券
2011/6/27,中兴通讯：管理层增持公司股票,Wind
2011/6/27,东方证券：中兴通讯新业务将成利润增长点,Wind
2011/6/28,申银万国：中兴通讯下半年将快速增长,Wind
2011/6/28,长江证券：流量经营成电信运营发展方向,Wind
2011/6/28,中信证券：中兴通讯当前估值偏低,Wind
2011/6/28,民族证券：中兴通讯高管增持或提振股价,Wind
2011/6/28,中兴通讯：高管增持彰显对公司发展信心十足,证券时报网
2011/6/28,中兴通讯高管增持凸显信心,WSJ
2011/6/28,光大证券：中兴通讯高管增持显信心,Wind
2011/6/28,东方证券：中兴通讯高管增持看好发展前景,Wind
2011/6/28,中兴通讯高管集体增持 耗资2800万,赛迪网
2011/6/28,中兴通讯8月起将在巴西生产平板电脑,第一财经
2011/6/28,海通证券：中兴通讯推动云计算业务拓展,Wind
2011/6/28,中兴通讯8月开始在巴西生产平板电脑,
2011/6/28,光大证券：下半年通信行业有望复苏,Wind
2011/6/28,中兴通讯高管集体斥资2900万增持,
2011/6/29,芯片商Inside与中兴扩大合作,
2011/6/29,中兴通讯 多名高管增持为哪般,
2011/6/29,中兴CMMB智能手机抢滩市场,
2011/6/29,中兴通讯 多名高管增持为哪般,资本证券
2011/6/29,信达证券：光通信行业将长期处于景气期,Wind
2011/6/29,中兴通讯：多名高管增持为哪般,第一财经
2011/6/29,证券市场半年报：十大套现老虎出笼,第一财经
2011/6/30,中兴通讯：2010年度利润分配股权登记日为7月6日,Wind
2011/6/30,联手中联通 中兴搅局千元智能机市场,资本证券
2011/6/30,2011Q1中兴通讯PTN市场占有率居第一,
2011/7/1,本周A股有50家公司遭重要股东减持,Wind
2011/7/1,券商推荐金股逾八成上半年跑输大盘,Wind
2011/7/5,长江证券：看好光通信板块投资价值,Wind
2011/7/5,通信行业：把握下半年投资机会,第一财经
2011/7/7,国泰君安：中兴通讯规模仍有较大提升空间,Wind
2011/7/8,中兴通讯：为全资子公司贷款9亿美元提供担保,Wind
2011/7/8,申银万国：下半年通信设备行业景气度或提升,Wind
2011/7/8,国都证券：长期将看好光通信主设备商,Wind
2011/7/8,聚飞光电今上会 中兴通讯为其客户兼股东,赛迪网
2011/7/11,中兴第一期股权激励计划开始第三次解锁,Wind
2011/7/11,中兴通讯签9亿美元银团贷款协议,财经网
2011/7/11,中兴通讯获9亿美元银团贷款,易观国际
2011/7/11,中兴3千多员工期权再次解锁 市值14亿多元,
2011/7/14,银河证券：三季度买入半年报业绩超预期的通信设备股,Wind
2011/7/15,今年中国智能手机发货量或增至5410万部,Wind
2011/7/15,中兴计划进军欧美手机市场,Wind
2011/7/15,高管增持暗藏投资密码 8概念股机会现,第一财经
2011/7/20,中兴拟联手高端运营商致力技术开发,Wind
2011/7/20,中兴通信获斯里兰卡电信网络改造合同,Wind
2011/7/20,中兴通讯：6053万股限售股21日解禁,Wind
2011/7/21,中兴通讯6000多万股期权解禁,中国经济网
2011/7/22,周五资金净流入净流出十大个股名单,Wind
2011/7/22,中兴通讯设立1亿人民币基金鼓励员工创新,Wind
2011/7/22,中兴通讯：仍有巨大发展空间,红周刊
2011/7/25,光大证券：上半年光通信接入等领域相关企业将受益,Wind
2011/7/25,中兴通讯出资成立财务公司,Wind
2011/7/26,中兴通讯拟在全球建十所创新中心,Wind
2011/7/27,QiComm成为中兴通讯英国系统集成合作伙伴,Wind
2011/7/27,大小非两个月减持13亿股,证券时报网
2011/7/27,银河证券：通信板块回调将是买入良机,Wind
2011/7/28,中兴通讯一季度固网终端全球增速第一,Wind
2011/7/29,中兴通讯计划建设分销渠道进入英国市场,Wind
2011/8/3,渤海证券：继续等待通信行业基本面明朗,Wind
2011/8/4,周四资金净流入净流出十大个股名单,Wind
2011/8/10,周三资金净流入流出十大个股名单,Wind
2011/8/10,中兴通讯上半年实现净利润7.69亿元 同比降12.42%,第一财经
2011/8/10,中兴通讯：上半年净利润同比下降12.42%,Wind
2011/8/10,中兴通讯中期盈利7.68亿 降逾一成,资本证券
2011/8/10,中兴通讯上半年净利7.69亿元 同比降12.4%,
2011/8/10,云手机是概念炒作,21世纪经济报道
2011/8/10,未来5年 中兴通讯将细耕埃塞俄比亚电信产业链,证券时报网
2011/8/11,周四A股资金净流入流出十大个股名单,Wind
2011/8/11,东方证券：中兴通讯目标价33.88元,Wind
2011/8/11,申银万国：下调中兴通讯2011-2013年盈利预测,Wind
2011/8/11,304家公司中期业绩快报逾一成净利翻番,Wind
2011/8/11,中金公司：关注中兴通讯股价回调或现投资机会,Wind
2011/8/11,中兴通讯中期营收373亿手机销量居全球第五,证券时报
2011/8/11,何士友：5年进入全球智能机前三,第一财经
2011/8/12,中兴通讯：利润下滑引发股价大跌,资本证券
2011/8/12,中兴通讯：理性看待公司产品毛利率短期下滑,证券时报网
2011/8/15,受益于中兴通讯采购 超声电子上半年净利增长超三成,第一财经日报
2011/8/15,中兴通讯毛利率跌破30% 净利下滑股价大跌,证券时报网
2011/8/16,东方证券：看好中低端Android手机厂商极其供应链,Wind
2011/8/16,中兴通讯：预计全年收入860亿 买入时机已到,红周刊
2011/8/16,华泰联合：维持电子元器件行业增持评级,Wind
2011/8/24,中兴通讯：智能手机为先锋 终端业务促成长,红周刊
2011/8/24,中兴通讯：智能手机为先锋 终端业务促成长,证券时报网
2011/8/25,中兴通讯再度减持国民技术套现1.4亿元,中国经济网
2011/8/26,中兴通讯：“昂贵的扩张”是否值得？,红周刊
2011/8/26,光通信行业：迎来十年一遇的景气周期,证券时报网
2011/8/29,美国资本集团增持中兴至5.05%,Wind
2011/8/29,安信证券：光通信仍将是未来几年热点推荐7股,Wind
2011/8/30,中兴通讯：聘任曹巍为证券事务代表,Wind
2011/8/30,中兴通讯上半年净利润下降12%,WSJ
2011/8/30,中兴通讯：上半年净利润同比减少12.33%,Wind
2011/8/30,通信行业：运营商领衔 通信板块表现强势,资本证券
2011/8/31,光大证券：三大机遇有望成就中兴通讯未来发展,Wind
